orig Songs Names,Sampling Song Names,Start of Sample,Start of sample in orig song
"Amen, Brother [ The Winstons ]",Straight Outta Compton [ N.W.A ],['0:04'],['1:27']
"Amen, Brother [ The Winstons ]","Pigs [ Tyler, the Creator ]",['0:00'],['1:26']
"Amen, Brother [ The Winstons ]",Scary Monsters and Nice Sprites (The Juggernaut Remix) [ Skrillex ],['0:52'],['1:27']
"Amen, Brother [ The Winstons ]",Patrol [ Homemade Weapons ],['0:00'],['1:26']
"Amen, Brother [ The Winstons ]",Networth [ Homemade Weapons ],"['0:45', '1:07']",['1:26']
"Amen, Brother [ The Winstons ]",Informer [ Snow ],['0:01'],['1:27']
"Amen, Brother [ The Winstons ]",Futurama Theme [ Christopher Tyng ],"['0:12', '1:38']",['1:27']
"Amen, Brother [ The Winstons ]",Mindfields [ The Prodigy ],['1:16'],['1:27']
"Amen, Brother [ The Winstons ]",Can't Knock the Hustle (Desired State Remix) [ Jay-Z feat. Mary J. Blige ],['3:50'],['1:27']
"Amen, Brother [ The Winstons ]",King of the Beats [ Mantronix ],['0:19'],['1:27']
"Amen, Brother [ The Winstons ]",One Kiss (Oliver Heldens Remix) [ Calvin Harris and Dua Lipa ],['3:23'],['1:27']
"Amen, Brother [ The Winstons ]",D'you Know What I Mean? [ Oasis ],['4:51'],['1:26']
"Amen, Brother [ The Winstons ]",Ease Yourself [ The Collective ],['0:01'],['1:27']
"Amen, Brother [ The Winstons ]",Jack Harlow Combo Meal [ JPEGMAFIA and Danny Brown ],['0:15'],['1:26']
"Amen, Brother [ The Winstons ]",Sounds of Fustration [ Lt. D'Amato ],['3:52'],['1:27']
"Amen, Brother [ The Winstons ]",Zatoichi [ Denzel Curry feat. slowthai ],['1:09'],['1:26']
Think (About It) [ Lyn Collins ],It Takes Two [ Rob Base & DJ E-Z Rock ],['0:26'],['1:23']
Think (About It) [ Lyn Collins ],"Ain't No Fun (If the Homies Can't Have None) [ Snoop Dogg feat. Nate Dogg, Kurupt and Warren G ]",['4:02'],['0:34']
Think (About It) [ Lyn Collins ],Ash Rockin [ J Dilla ],"['0:00', '0:03', '1:10']",['1:24']
